1;3210.00;10.30;1182.00;big
1;3235.00;10.50;1161.00;big
2;3321.00;10.35;1118.00;big
2;3275.00;11.03;1134.00;big
3;3302.00;9.80;1247.00;big
3;3318.00;13.30;1183.00;big
4;3013.00;9.50;1018.00;big
4;2953.00;9.50;1167.00;big
5;3298.00;10.43;1091.00;big
5;3269.00;10.60;1069.00;big
6;3317.00;10.05;1034.00;big
6;3385.00;12.88;1035.00;big
7;3248.00;10.90;1098.00;big
7;3237.00;10.45;1129.00;big
8;3187.00;10.32;1320.00;big
8;3246.00;11.15;1417.00;big
9;3195.00;10.80;1121.00;big
9;3162.00;10.60;1133.00;big
10;3201.00;10.50;1073.00;big
10;3159.00;10.40;1090.00;big
11;3110.00;11.38;1150.00;big
11;3155.00;11.35;1190.00;big
12;3118.00;11.60;1242.00;big
12;3037.00;10.50;1227.00;big
13;3479.00;9.50;991.00;big
13;3483.00;10.03;1078.00;big
14;3246.00;20.58;972.00;big
14;3203.00;19.70;1014.00;big
15;3153.00;9.50;1323.00;big
15;3198.00;9.80;1192.00;big
16;3290.00;9.50;1408.00;big
16;3383.00;9.50;1300.00;big
17;3433.00;9.50;1121.00;big
17;3383.00;9.50;1215.00;big
18;3311.00;9.50;954.00;big
18;3323.00;9.50;863.00;big
19;3084.00;10.07;1075.00;big
19;3146.00;10.60;1054.00;big
20;3016.00;10.78;1134.00;big
20;3014.00;12.78;1070.00;big
21;3128.00;11.23;986.00;big
21;3140.00;10.03;919.00;big
22;3057.00;10.12;968.00;big
22;3048.00;10.05;1012.00;big
23;3094.00;10.23;846.00;big
23;3053.00;11.10;915.00;big
24;3235.00;10.07;792.00;big
24;3226.00;10.00;836.00;big
25;2988.00;11.57;970.00;big
25;2993.00;10.98;898.00;big
26;2962.00;12.25;837.00;big
26;3018.00;12.90;820.00;big
27;3036.00;10.35;761.00;big
27;3057.00;12.10;703.00;big
28;2968.00;11.07;735.00;big
28;2917.00;10.15;779.00;big
29;2974.00;10.95;647.00;big
29;2962.00;11.00;557.00;big
30;2841.00;10.82;738.00;big
30;2884.00;12.12;641.00;big
31;2838.00;16.05;844.00;big
31;2905.00;10.03;879.00;big
32;2847.00;10.00;959.00;big
32;2915.00;11.80;1003.00;big
33;3099.00;9.50;907.00;big
33;3079.00;9.50;1032.00;big
34;3231.00;9.50;876.00;big
34;3149.00;9.50;792.00;big
35;2760.00;14.75;1193.00;big
35;2783.00;14.55;1044.00;big
36;2992.00;9.50;523.00;big
36;3133.00;9.50;621.00;big
37;3737.00;10.05;620.00;big
37;3791.00;12.50;626.00;big
38;3803.00;10.45;515.00;big
38;3763.00;9.95;555.00;big
39;3654.00;10.78;514.00;big
39;3607.00;10.98;447.00;big
40;3494.00;14.50;433.00;big
40;3444.00;10.40;467.00;big
41;3241.00;11.65;438.00;big
41;3290.00;9.50;441.00;big
42;3782.00;10.98;310.00;big
42;3726.00;10.15;307.00;big
43;3531.00;10.57;66.00;big
43;3578.00;10.35;88.00;big
44;3696.00;9.50;680.00;big
44;3753.00;9.50;510.00;big
45;3605.00;9.50;501.00;big
45;3436.00;9.50;442.00;big
46;3202.00;9.50;455.00;big
46;3308.00;9.50;498.00;big
47;3068.00;9.50;448.00;big
47;2811.00;9.50;308.00;big
48;3797.00;9.85;343.00;big
48;3715.00;9.50;264.00;big
49;3286.00;9.50;146.00;big
49;3517.00;10.28;149.00;big
50;3358.00;9.50;608.00;big
50;3458.00;9.50;772.00;big
51;2746.00;10.23;716.00;big
51;2767.00;11.65;774.00;big
52;2802.00;15.00;644.00;big
52;2781.00;20.00;582.00;big
53;2681.00;11.53;810.00;big
53;2700.00;11.00;770.00;big
54;2691.00;15.45;899.00;big
54;2758.00;13.05;876.00;big
55;2560.00;12.48;685.00;big
55;2641.00;12.62;713.00;big
56;2721.00;11.35;652.00;big
56;2705.00;14.48;568.00;big
57;2506.00;11.30;917.00;big
57;2590.00;10.00;889.00;big
58;2624.00;10.07;811.00;big
58;2557.00;10.80;766.00;big
59;2618.00;10.43;534.00;big
59;2615.00;10.10;615.00;big
60;2495.00;17.65;547.00;big
60;2580.00;10.73;481.00;big
61;2497.00;10.45;402.00;big
61;2414.00;20.05;330.00;big
62;2474.00;12.23;638.00;big
62;2397.00;12.80;609.00;big
63;2290.00;13.62;715.00;big
63;2389.00;11.82;829.00;big
64;2254.00;15.73;1000.00;big
64;2147.00;11.73;918.00;big
65;2178.00;13.20;698.00;big
65;2292.00;13.88;452.00;big
66;2645.00;9.50;429.00;big
66;2772.00;9.50;516.00;big
67;2562.00;9.50;338.00;big
67;2322.00;9.50;229.00;big
68;2993.00;9.50;128.00;big
68;2627.00;9.50;58.00;big
69;2068.00;11.05;375.00;big
69;1985.00;12.50;732.00;big
70;2468.00;13.68;1187.00;big
70;2179.00;10.35;1339.00;big
71;2532.00;14.25;1638.00;big
71;2954.00;11.62;1480.00;big
72;1572.00;9.50;1066.00;big
72;4416.00;9.50;1056.00;big
